"label","labelOO","labelCi"
"#iorestoacasamascopro le dediche incise su tre laminette di bronzo","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#iorestoacasa Le mappe e i catastici del fondo Conventi soppressi della provincia di Pordenone","Sede di Archivio di Stato di Pordenone","Pordenone"
"#iorestoacasa ma scopro....il Museo archeologico dell'Agro atellano","Sede di Museo archeologico dell'Agro atellano","Succivo"
"#SoprintendenzAperta / #iorestoacasa","Sede di Ministero della cultura","Roma"
"#iorestoacasa; #laculturanonsiferma","Sede di Biblioteca nazionale Marciana","Venezia"
"#iorestoacasa ma scopro... il Museo archeologico dell'antica Allifae","Sede di Museo archeologico dell'antica Allifae","Alife"
"#iorestoacasa ma scopro....preziosi oggetti dal Museo archeologico dell'Agro atellano!","Sede di Museo archeologico dell'Agro atellano","Succivo"
"#iorestoacasa ma scopro... il Museo archeologico dell'antica Allifae!","Sede di Museo archeologico dell'antica Allifae","Alife"
"#iorestoacasa ma scopro... il mito di Trittolemo!","Sede di Museo archeologico dell'antica Allifae","Alife"
"#iorestoacasa ma scopro...il Museo archeologico di Teanum Sidicinum!","Sede di Museo archeologico di Teanum Sidicinum","Teano"
"#iorestoacasa...per tornare bambino con ""Il libro giocattoli""","Sede di Biblioteca Universitaria di Cagliari","Cagliari"
"#iorestoacasa ma scopro... la Cappella di Palazzo Carafa!","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro....il Teatro romano di Teanum Sidicinum!","Sede di Teatro romano di Teanum Sidicinum","Teano"
"#iorestoacasa ma scopro… antichi riti a Calatia","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro...eroi al Museo archeologico di Teanum Sidicinum!","Sede di Museo archeologico di Teanum Sidicinum","Teano"
"#iorestoacasa ma scopro… i colori della Galleria!","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro… passatempi in casa!","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro… il Museo archeologico di Calatia","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro....poeti al Parco di Virgilio!","Sede di Parco e Tomba di Virgilio","Napoli"
"#iorestoacasa. Il Museo archeologico nazionale Sanna di Sassari ","Sede di Museo nazionale archeologico ed etnografico ""Giovanni Antonio Sanna""","Sassari"
"#iorestoacasa ma scopro...i segreti del Parco di Virgilio!","Sede di Parco e Tomba di Virgilio","Napoli"
"#iorestoacasa. La Pinacoteca nazionale di Sassari. ","Sede di Pinacoteca nazionale di Sassari","Sassari"
"#iorestoacasa ma scopro...il Museo archeologico di Pontecagnano!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#LA CULTURA NON SI FERMA. Lo sapevi che?","Sede di Complesso monumentale della Pilotta - Galleria nazionale di Parma","Parma"
"#iorestoacasa. Reperti da colorare insieme al Museo archeologico nazionale di Cagliari","Sede di Museo archeologico nazionale di Cagliari","Cagliari"
"#iorestoacasa ma scopro....gli Etruschi al Museo archeologico di Pontecagnano!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa per festeggiare San Giuseppe","Sede di Galleria dell'Accademia di Firenze","Firenze"
"#iorestoacasa ma scopro… Palazzo Reale di Napoli","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro… lo Scalone d'Onore!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro...la Principessa e il guerriero!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro… il Teatro di Corte!","Sede di Palazzo Reale di Napoli","Napoli"
"#LA CULTURA NON SI FERMA. Che canzone ti ricorda?","Sede di Complesso monumentale della Pilotta - Galleria nazionale di Parma","Parma"
"#iorestoacasa ma scopro… la Sala del Corpo Diplomatico!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro… la Seconda Anticamera!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro… l'Anticamera di passaggio!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro… la Terza Anticamera!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro… la Sala del Trono!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma è possibile #ViaggiareCoiLibri","Sede di Biblioteca Nazionale Centrale di Firenze","Firenze"
"#LA CULTURA NON SI FERMA. La Pilotta in un quiz","Sede di Complesso monumentale della Pilotta - Galleria nazionale di Parma","Parma"
"#LA CULTURA NON SI FERMA. La Pilotta in un quiz","Sede di Ministero della cultura","Roma"
"#iorestoacasaPescara La Figlia di Jorio Il restauro","Sede di Ministero della cultura","Pescara"
"#iorestoacasa MANN un'immagine.....","Sede di Museo archeologico nazionale di Napoli","Napoli"
"#laculturanonsiferma #iorestoacasa - LEOPOLDO I RE DEL BELGIO, padre di Carlotta @MUSEOMIRAMARE","Sede di Museo storico e il Parco del Castello di Miramare","Trieste"
"#iorestoacasa#festadelpapà","Sede di Museo archeologico statale di Ascoli Piceno","Ascoli Piceno"
"#iorestoacasa ma scopro...la Certosa e il Museo di San Martino","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… Certosa e Museo di San Martino","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… la Tavola Strozzi in audio!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro....la Certosa e Museo di San Martino","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… la Tavola Strozzi giocando con un quiz!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa. ETRU si racconta on-line con #ETRUaCasa","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"#iorestoacasa: festa del papà al MANN","Sede di Museo archeologico nazionale di Napoli","Napoli"
"#MNRconTEkids giorno 10: Festa del Papà! Facciamogli un regalo!","Sede di Museo nazionale romano - Palazzo Massimo","Roma"
"#iorestoacasa ma scopro… Eduardo Scarpetta!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… Salvatore Di Giacomo!","Sede di Certosa e Museo di San Martino","Napoli"
"#laculturanonsiferma: Navicella nuragica dalla tomba 74, necropoli Montevetrano ","Sede di Ministero della cultura","Salerno"
"#iorestoacasa ma scopro...il Museo e la Certosa di San Martino","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… Eduardo Scarpetta giocando con un quiz!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… il pastore Benino!","Sede di Certosa e Museo di San Martino","Napoli"
"#restoacasaeviaggionellastoria","Sede di Biblioteca di storia moderna e contemporanea","Roma"
"#iorestoacasa: #Vietatoaigrandi","Sede di Museo archeologico nazionale dell'Umbria","Perugia"
"#iorestoacasa: #vociperilpalazzo","Sede di Palazzo ducale di Gubbio","Gubbio"
"#laculturanonsiferma EDU è la sezione del Mibact dedicata alle attività educative ","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#laculturanonsiferma CINEMA è la sezione del Mibact dedicata a spettacolo, cinema e audiovisivo ","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"#iorestoacasamascopro una meravigliosa Testa","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#iorestoacasa una preghiera a Maria in occasione dell'ostensione straordinaria della Cintola","Sede di Archivio di Stato di Prato","Prato"
"#iorestoacasa Palazzo Altieri","Sede di Palazzo Altieri","Oriolo Romano"
"#iorestoacasa ma Garibaldi è vivo e non si ferma!","Sede di Compendio garibaldino di Caprera","Sassari"
"#iorestoacasa ma con la mente a teatro","Sede di Biblioteca Universitaria di Pavia","Pavia"
"#iorestoacasa. Benvenuta #primavera!","Sede di Museo archeologico statale di Ascoli Piceno","Ascoli Piceno"
"#iorestoacasa ma scopro...il Museo archeologico di Calatia","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro... ""Agli amici e, affinché non si apra a pochi, anche a quelli finti""","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa...ascoltando i sonetti di Raffaello Sanzio","Sede di Biblioteca Nazionale di Cosenza","Cosenza"
"#museichiusimuseiaperti - Le iniziative digitali del Vittoriale","Sede di Ministero della cultura","Gardone Riviera"
"#iorestoacasa Lazzaro Spallanzani, una lettera autografa nell'Archivio di Stato di Modena","Sede di Archivio di Stato di Modena","Modena"
"#iorestoacasa Un saluto alla città di Parma ","Sede di Archivio di Stato di Modena","Modena"
"#laculturanonsiferma e #festeggiamoinsiemeilprimogiornodiprimavera","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#iorestoacasa ma scopro un magnifico corredo","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#litaliachiamo Continua la maratona","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"#iorestoacasa ma scopro… l'antica città di Allifae!","Sede di Museo archeologico dell'antica Allifae","Alife"
"#iorestoacasa ma scopro...l'antica Atella!","Sede di Museo archeologico dell'Agro atellano","Succivo"
"#LA CULTURA NON SI FERMA. Quale artista preferisci?","Sede di Complesso monumentale della Pilotta - Galleria nazionale di Parma","Parma"
"#iorestoacasa ma scopro...Il Parco di Virgilio e il giovane favoloso","Sede di Parco e Tomba di Virgilio","Napoli"
"#iorestoacasa ma scopro… la dea Popluna!","Sede di Museo archeologico di Teanum Sidicinum","Teano"
"#LA CULTURA NON SI FERMA. Scopri chi ha vinto.","Sede di Complesso monumentale della Pilotta - Galleria nazionale di Parma","Parma"
"#restiamoacasa uniti nella MUSICA","Sede di Biblioteca Angelica di Roma","Roma"
"#LA CULTURA NON SI FERMA. Pilotta Archeonews","Sede di Ministero della cultura","Roma"
"#LA CULTURA NON SI FERMA. Pilotta Archeonews","Sede di Complesso monumentale della Pilotta - Museo archeologico nazionale di Parma","Parma"
"#iorestoacasa ma #CreoAdArte ","Sede di Galleria nazionale dell'Umbria","Perugia"
"#LA CULTURA NON SI FERMA. I tesori della Biblioteca Palatina","Sede di Ministero della cultura","Roma"
"#LA CULTURA NON SI FERMA. I tesori della Biblioteca Palatina","Sede di Complesso monumentale della Pilotta - Biblioteca Palatina di Parma","Parma"
"#iorestoacasa ma scopro i tesori d'archivio","Sede di Ministero della cultura","Roma"
"#iorestoacasa.  Fortezza e Prudenza Due statue settecentesche a Palazzo Ferretti","Sede di Museo archeologico nazionale delle Marche","Ancona"
"#SoprintendenzAperta / #iorestoacasa","Sede di Area archeologica di Gabii","Roma"
"#iorestocasa #MNRconTEkids giorno 12 Unisci i puntini: soluzione!","Sede di Museo nazionale romano - Palazzo Altemps","Roma"
"#iorestoacasa. 22 Marzo Giornata Mondale dell’Acqua","Sede di Museo archeologico nazionale delle Marche","Ancona"
"#iorestoacasa.#IoLavoLeMani","Sede di Museo archeologico nazionale delle Marche","Ancona"
"#MNRconTEkids giorno 13 #iorestoacasa  Bentornata Persefone!","Sede di Museo nazionale romano - Terme di Diocleziano","Roma"
"#iorestoacasa. #BELLEZZEACQUAESAPONE","Sede di Museo archeologico statale di Ascoli Piceno","Ascoli Piceno"
"#MNRconTEkids #iorestoacasa Facciamo un sudoku con le sculture!","Sede di Museo nazionale romano - Palazzo Altemps","Roma"
"#iorestoacasa...con l'Archivio di Stato di Genova","Sede di Archivio di Stato di Genova","Genova"
"#museichiusimuseiaperti le iniziative del Museo del Territorio Biellese ","Sede di Museo del territorio biellese","Biella"
"#iorestoacasa Museo Archeologico Nazionale di Palestrina e Santuario della Fortuna Primigenia","Sede di Museo archeologico nazionale Prenestino, Santuario della Fortuna Primigenia e Complesso degli edifici del foro di Praeneste","Palestrina"
"#iorestoacasa Museo Archeologico Nazionale di Formia","Sede di Museo archeologico nazionale di Formia","Formia"
"#iorestoacasa...con un inedito manoscritto sardo del Seicento","Sede di Biblioteca Universitaria di Cagliari","Cagliari"
"#stageathome Il Teatro San Carlo a casa con voi","Sede di Teatro romano e Antiquarium di Gubbio","Gubbio"
"#iorestoacasa, ascolto e seguo le #vocifiorentine/3","Sede di Galleria dell'Accademia di Firenze","Firenze"
"#iorestoacasa. Viaggio nella Campania Felix del 1580","Sede di Biblioteca Universitaria di Napoli","Napoli"
"#iorestoacasa ma scopro la primavera la Museo archeologico dell'Agro atellano a Succivo","Sede di Museo archeologico dell'Agro atellano","Succivo"
"#iorestoacasa ma scopro… il mito dei Centauri!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro la Primavera al Museo archeologico dell'antica Allifae","Sede di Museo archeologico dell'antica Allifae","Alife"
"#iorestoacasa ma scopro la Primavera al Museo archeologico di Teanum Sidicinum!","Sede di Museo archeologico di Teanum Sidicinum","Teano"
"#iorestoacasa ma scopro la Primavera la parco e Tomba di Virgilio","Sede di Parco e Tomba di Virgilio","Napoli"
"#iorestoacasa ma scopro… il mito dei Centauri continua!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro....la Sala degli Ambasciatori a Palazzo Reale di Napoli!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro… il virtual archeo lab!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro… l'Altro museo e l'Archivio sotterraneo!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro la bellezza. Presto torneremo ad abbracciarci","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"#iorestoacasa nella Giornata mondiale della poesia","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"#litaliachiamo L'Anfiteatro si tinge di tricolore","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"#iorestoacasa ma #cultureneverstops","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#nonfermiamolacultura e #utilizziamolarteperraccontare","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#primaveranonbussa Video #iorestoacasa","Sede di Museo archeologico nazionale dell'Umbria","Perugia"
"#iorestoacasa ma #laGalleriamifacompagnia ","Sede di Galleria nazionale dell'Umbria","Perugia"
"#iorestoacasa. Viaggio nei Musei Civici dell'Emilia","Sede di Ministero della cultura","Reggio nell'Emilia"
"#MNRconTEkids #iorestoacasa Pietrifichiamoci con Medusa!","Sede di Museo nazionale romano - Palazzo Massimo","Roma"
"#LACULTURANONSIFERMA #PUGLIA. LECCE, EX OSPEDALE DELLO SPIRITO SANTO.","Sede di Archivio di Stato di Lecce","Lecce"
"#laculturanonsiferma #iorestoacasa #Gorizia - Il fondo Casiraghi alla Biblioteca statale Isontina","Sede di Biblioteca statale Isontina di Gorizia","Gorizia"
"#restiamoacasa","Sede di Museo Palazzo Reale di Genova","Genova"
"#iorestoacasaeviaggionellastoria con Dante Alighieri","Sede di Biblioteca di storia moderna e contemporanea","Roma"
"#PassioneItalia","Sede di Ministero della cultura","Milano"
"#iorestoacasa Un'Estate per Lucrezia!","Sede di Archivio di Stato di Modena","Modena"
"#iorestoacasa. Per la primavera","Sede di Museo archeologico nazionale delle Marche","Ancona"
"#laculturanonsiferma #Dantedì","Sede di Ministero della cultura","Roma"
"#iorestoacasa ma scopro una statua in terracotta raffigurante una offerente con melagrana","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#laculturanonsiferma Visitiamo la pagina ARCHIVI E BIBLIOTECHE del Mibact","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"#iorestoacasa. Alla scoperta de ""Le origini di Numana"".","Sede di Antiquarium statale di Numana","Numana"
"#iorestoacasa ma scopro... la Sala di ""Maria Cristina""!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro.....preziose porcellane!","Sede di Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"#iorestoacasa; #bibliotechechiusebibliotecheaperte; #Dantedì","Sede di Biblioteca nazionale Marciana","Venezia"
"#iorestoacasa ma scopro....tesori orientali al Museo Duca di Martina!","Sede di Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"#iorestoacasa ma scopro....tesori orientali!","Sede di Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"#laculturanonsiferma #Dantedì #1 Chi era Carlo Negroni","Sede di Ministero della cultura","Roma"
"#iorestoacasa ma scopro...i netsuke!","Sede di Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"#iorestoacasa ma scopro....i trucchi d'amore del Settecento!","Sede di Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"#iorestoacasa ma scopro....i segreti della Regina!","Sede di Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"#laculturanonsiferma #Dantedì #2 L'incipit dell'Inferno","Sede di Ministero della cultura","Roma"
"#laculturanonsiferma #Dantedì #3 Il colofone del manoscritto","Sede di Ministero della cultura","Roma"
"#laculturanonsiferma #Dantedì #4 Omaggio a Deianira","Sede di Ministero della cultura","Roma"
"#iorestoacasa ma scopro...sorrisi di donna!","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa. Il Cristo Borgognone. Restauri e aggiornamenti storico-critici","Sede di Chiesa di Santa Marta","Roma"
"#iorestoacasa ma scopro.....la Primavera a Calatia!","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa. Lo stemma della città di Assisi","Sede di Archivio di Stato di Perugia. Sezione di Assisi","Assisi"
"#iorestoacasa ma scopro...viaggio virtuale al Museo archeologico di Calatia!","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro... il restauro giocando con un quiz!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa Museo Archeologico Nazionale di Tuscania","Sede di Museo archeologico nazionale di Tuscania","Tuscania"
"#iorestoacasa ma scopro... le camelie della Certosa","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro... #bellezzeacquaesapone","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… la cisterna del Chiostro grande!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… Alphonse Bernoud","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… #bellezzeacquaesapone quiz!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… Alphonse Bernoud giocando con un quiz!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa. Alla scoperta delle domus romane con l'Antiquarium Turritano di Porto Torres","Sede di Museo archeologico nazionale Antiquarium Turritano e area archeologica","Porto Torres"
"#iorestoacasa ma scopro una tomba scavata nella necropoli sita in Loc. Fornaci","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#iorestoacasa ma scopro una #HydriaTelesstas","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#laculturanonsiferma Mibact a suon di musica","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"#laCulturainCasa #iorestoaCasa #museichiusimuseiaperti","Sede di Musei capitolini Museo Palazzo dei Conservatori","Roma"
"#laCulturainCasa #iorestoaCasa #museichiusimuseiaperti","Sede di Ministero della cultura","Roma"
"#laCulturainCasa #iorestoaCasa #museichiusimuseiaperti","Sede di Museo dell’ara Pacis Augustae","Roma"
"#laCulturainCasa #iorestoaCasa #museichiusimuseiaperti","Sede di Museo napoleonico","Roma"
"#laCulturainCasa #iorestoaCasa #museichiusimuseiaperti","Sede di Musei di Villa Torlonia, Casina delle Civette","Roma"
"#iorestoacasa: Alla scoperta de ""Le origini di Numana"". Il Monte Conero","Sede di Antiquarium statale di Numana","Numana"
"#iorestoacasa. Villa Giulia nella Giornata Mondiale del Teatro","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"#iorestoacasa Scopri il Museo archeologico dell'antica Capua, l'Anfiteatro e il Mitreo","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#iorestoacasa...In compagnia di un famoso geografo del Cinquecento","Sede di Biblioteca Universitaria di Cagliari","Cagliari"
"#Iorestoacasa: Giornata Mondiale del Teatro al MANN","Sede di Museo archeologico nazionale di Napoli","Napoli"
"#Iorestoacasa: da oggi ""Father&son"", videogame del MANN, scaricabile in napoletano su Google Play","Sede di Museo archeologico nazionale di Napoli","Napoli"
"#iorestoacasa ma scopro… SpeTTaTTori","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro… La Vergine puerpera","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro… La Vergine puerpera con un quiz!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa nella #GiornataMondialedelTeatro ","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#LACULTURANONSIFERMA #PUGLIA  Bari - Area Archeologia di San Pietro","Sede di Ministero della cultura","Bari"
"#iorestoacasa ma scopro una straordinaria fibula","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"#iorestoacasa. Le vie dell'ambra","Sede di Museo archeologico nazionale ""G. Asproni""","Nuoro"
"#iorestoacasa. Giochiamo…come i piccoli Romani","Sede di Museo archeologico nazionale delle Marche","Ancona"
"#iorestoacasa. Piccoli passialmuseo I nostri lavori","Sede di Museo archeologico nazionale delle Marche","Ancona"
"#iorestoacasa una preghiera a Maria in occasione dell'ostensione straordinaria della Cintola","Sede di Ministero della cultura","Roma"
"#Uffizikids #laculturanonsiferma","Sede di Gallerie degli Uffizi – Gli Uffizi","Firenze"
"#iorestoacasa Museo archeologico di Arcevia ","Sede di Museo archeologico statale di Arcevia","Arcevia"
"#SalvArte. I ragazzi salvano l’arte!","Sede di Ministero della cultura","Arquata del Tronto"
"#iorestoacasa Rocca di Gradara – Museo","Sede di Rocca demaniale di Gradara","Gradara"
"#Parco4family - Parco archeologico dei Campi Flegrei","Sede di Parco archeologico dei Campi Flegrei - Museo archeologico dei Campi Flegrei nel Castello di Baia","Bacoli"
"#iorestoacasa ma scopro...l'arte del Teatro alla Certosa di San Martino!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestocasa ma scopro....il Teatro e l'arte di emozionare il mondo alla Certosa di San Martino!","Sede di Certosa e Museo di San Martino","Napoli"
"#iorestoacasa ma scopro....personaggi famosi alla Certosa di San Martino","Sede di Certosa e Museo di San Martino","Napoli"
"#LACULTURANONSIFERMA #PUGLIA #EVASIONIDIGITALI","Sede di Ministero della cultura","Bari"
"#iorestoacasa per conoscere l'incunabolo più riccamente illustrato","Sede di Biblioteca Universitaria di Cagliari","Cagliari"
"#iorestoacasa ma scopro... l'eroe che si prepara alla battaglia!","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro....la Sala del Gran Capitano a Palazzo Reale di Napoli!","Sede di Palazzo Reale di Napoli","Napoli"
"#iorestoacasa ma scopro... le maschere teatrali","Sede di Museo archeologico di Calatia","Maddaloni"
"#iorestoacasa ma scopro....l'arte della fotografia a Villa Pignatelli!","Sede di Museo Diego Aragona Pignatelli Cortes e Museo delle Carrozze","Napoli"
"#iorestoacasa ma scopro...OpenHeArt al Museo Pignatelli!","Sede di Museo Diego Aragona Pignatelli Cortes e Museo delle Carrozze","Napoli"
"#iorestoacasa. Le insulae a Porto Torres","Sede di Museo archeologico nazionale Antiquarium Turritano e area archeologica","Porto Torres"
"#MiBact #iorestoacasa #archiviodistatodipalermo","Sede di Archivio di Stato di Palermo","Palermo"
"#laculturanonsiferma Museo Civico Archeologico della Valtenesi","Sede di Museo civico, archeologico e della Collegiata","Casole d'Elsa"
"#laculturanonsiferma - Archivio di Stato di Fermo","Sede di Archivio di Stato di Fermo","Fermo"
"#laculturanonsiferma #iorestoacasa - Una stagione sul sofa'","Sede di Ministero della cultura","Bolzano/Bozen"
"#iorestoacasa ma scopro....storie da Teatro!","Sede di Teatro romano di Teanum Sidicinum","Teano"
"#iorestoacasa ma scopro... il teatro antico di Nola","Sede di Museo storico archeologico di Nola","Nola"
"#iorestoacasa ma scopro...il dettaglio misterioso a Castel Sant'Elmo","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro...il dettaglio misterioso al Museo del Novecento a Napoli!","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro...Castel Sant'Elmo e il Museo Novecento a Napoli!","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro...grandi artisti al Museo del Novecento a Napoli!","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro...Perle d'artista!","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro... gli antichi spettacoli teatrali!","Sede di Museo archeologico dell'Agro atellano","Succivo"
"#iorestoacasa ma scopro...Apollo al Museo archeologico di Pontecagnano!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro...Il MAP che non conosci con il virtual lab!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro...Un viaggio senza tempo tra tra storia, arte e archeologia","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"#iorestoacasa ma scopro... lo ""spettacolo"" paesaggistico del Parco e Tomba di Virgilio","Sede di Parco e Tomba di Virgilio","Napoli"
"#iorestoacasa ma scopro... il dettaglio misterioso di Castel Sant'Elmo","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma ""Sono giorni preziosi""","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro... giovani artisti a Castel Sant'Elmo","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro... cos'è un museo?","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro... cos'è un museo? Tempo","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro... cos'è un museo? Paesaggi","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro... cos'è un museo? Emozioni","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#iorestoacasa ma scopro... Le emozioni del contemporaneo","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"#luttonazionale","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Vittoriano","Roma"
"#iorestoacasa ma gioco... a Nomi, cose nei musei!","Sede di Certosa e Museo di San Martino","Napoli"
"#luttonazionale @Museo Archeologico Nazionale di Palestrina MANP","Sede di Museo archeologico nazionale Prenestino, Santuario della Fortuna Primigenia e Complesso degli edifici del foro di Praeneste","Palestrina"
"#iorestoacasa Un saluto alla città di Venezia","Sede di Archivio di Stato di Modena","Modena"
"#Pillole_d'@rte sull'account Instagram del Museo e Real Bosco di Capodimonte","Sede di Museo e Real Bosco di Capodimonte","Napoli"
"#iorestoacasa. Dal Museo alla Necropli di Tuvixeddu","Sede di Museo archeologico nazionale di Cagliari","Cagliari"
